intersection	direction	sample_index	selected_video	output_image
柏公路永安北二街20251225	南	3	/data3/VLA_LLM_DATA/柏公路永安北二街20251225/南/202512241900-202512241910-[3]_20.dav	/home/wangzhe/VLM/images/random5_per_camera/柏公路永安北二街20251225/南/03__202512241900-202512241910-[3]_20.jpg
柏公路永安北二街20251225	南	4	/data3/VLA_LLM_DATA/柏公路永安北二街20251225/南/202512240830-202512240840-[3]_4.dav	/home/wangzhe/VLM/images/random5_per_camera/柏公路永安北二街20251225/南/04__202512240830-202512240840-[3]_4.jpg
柏公路永安北二街20251225	南	5	/data3/VLA_LLM_DATA/柏公路永安北二街20251225/南/202512240850-202512240900-[3]_6.dav	/home/wangzhe/VLM/images/random5_per_camera/柏公路永安北二街20251225/南/05__202512240850-202512240900-[3]_6.jpg
柏公路永安北二街20251225	西	1	/data3/VLA_LLM_DATA/柏公路永安北二街20251225/西/202512240830-202512240840-[2]_4.dav	/home/wangzhe/VLM/images/random5_per_camera/柏公路永安北二街20251225/西/01__202512240830-202512240840-[2]_4.jpg
柏公路永安北二街20251225	西	2	/data3/VLA_LLM_DATA/柏公路永安北二街20251225/西/202512241810-202512241820-[2]_15.dav	/home/wangzhe/VLM/images/random5_per_camera/柏公路永安北二街20251225/西/02__202512241810-202512241820-[2]_15.jpg
柏公路永安北二街20251225	西	3	/data3/VLA_LLM_DATA/柏公路永安北二街20251225/西/202512241830-202512241840-[2]_17.dav	/home/wangzhe/VLM/images/random5_per_camera/柏公路永安北二街20251225/西/03__202512241830-202512241840-[2]_17.jpg
柏公路永安北二街20251225	西	4	/data3/VLA_LLM_DATA/柏公路永安北二街20251225/西/202512242000-202512242010-[2]_26.dav	/home/wangzhe/VLM/images/random5_per_camera/柏公路永安北二街20251225/西/04__202512242000-202512242010-[2]_26.jpg
柏公路永安北二街20251225	西	5	/data3/VLA_LLM_DATA/柏公路永安北二街20251225/西/202512241930-202512241940-[2]_23.dav	/home/wangzhe/VLM/images/random5_per_camera/柏公路永安北二街20251225/西/05__202512241930-202512241940-[2]_23.jpg
深盐梧桐20251219	东	1	/data3/VLA_LLM_DATA/深盐梧桐20251219/东/D1_20251218084611_20251218090410.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/东/01__D1_20251218084611_20251218090410.jpg
深盐梧桐20251219	东	2	/data3/VLA_LLM_DATA/深盐梧桐20251219/东/D1_20251218082812_20251218084611.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/东/02__D1_20251218082812_20251218084611.jpg
深盐梧桐20251219	东	3	/data3/VLA_LLM_DATA/深盐梧桐20251219/东/D1_20251218183133_20251218184922.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/东/03__D1_20251218183133_20251218184922.jpg
深盐梧桐20251219	东	4	/data3/VLA_LLM_DATA/深盐梧桐20251219/东/D1_20251218081017_20251218082812.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/东/04__D1_20251218081017_20251218082812.jpg
深盐梧桐20251219	东	5	/data3/VLA_LLM_DATA/深盐梧桐20251219/东/D1_20251218093950_20251218095738.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/东/05__D1_20251218093950_20251218095738.jpg
深盐梧桐20251219	北	1	/data3/VLA_LLM_DATA/深盐梧桐20251219/北/D12_20251218092830_20251218094818.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/北/01__D12_20251218092830_20251218094818.jpg
深盐梧桐20251219	北	2	/data3/VLA_LLM_DATA/深盐梧桐20251219/北/D12_20251218090924_20251218092830.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/北/02__D12_20251218090924_20251218092830.jpg
深盐梧桐20251219	北	3	/data3/VLA_LLM_DATA/深盐梧桐20251219/北/D12_20251218190832_20251218192628.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/北/03__D12_20251218190832_20251218192628.jpg
深盐梧桐20251219	北	4	/data3/VLA_LLM_DATA/深盐梧桐20251219/北/D12_20251218194419_20251218200143.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/北/04__D12_20251218194419_20251218200143.jpg
深盐梧桐20251219	北	5	/data3/VLA_LLM_DATA/深盐梧桐20251219/北/D12_20251218200143_20251218201917.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/北/05__D12_20251218200143_20251218201917.jpg
深盐梧桐20251219	南	1	/data3/VLA_LLM_DATA/深盐梧桐20251219/南/D5_20251218182701_20251218184422.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/南/01__D5_20251218182701_20251218184422.jpg
深盐梧桐20251219	南	2	/data3/VLA_LLM_DATA/深盐梧桐20251219/南/D5_20251218193611_20251218195326.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/南/02__D5_20251218193611_20251218195326.jpg
深盐梧桐20251219	南	3	/data3/VLA_LLM_DATA/深盐梧桐20251219/南/D5_20251218093047_20251218094805.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/南/03__D5_20251218093047_20251218094805.jpg
深盐梧桐20251219	南	4	/data3/VLA_LLM_DATA/深盐梧桐20251219/南/D5_20251218175209_20251218180931.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/南/04__D5_20251218175209_20251218180931.jpg
深盐梧桐20251219	南	5	/data3/VLA_LLM_DATA/深盐梧桐20251219/南/D5_20251218191856_20251218193611.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/南/05__D5_20251218191856_20251218193611.jpg
深盐梧桐20251219	西	1	/data3/VLA_LLM_DATA/深盐梧桐20251219/西/D8_20251218195945_20251218201707.mp4	/home/wangzhe/VLM/images/random5_per_camera/深盐梧桐20251219/西/01__D8_20251218195945_20251218201707.jpg
